iter	Passed	Remaining
1141	12536	3930
1142	12546	3918
1143	12556	3907
1144	12568	3896
1145	12578	3885
1146	12588	3874
1147	12598	3862
1148	12608	3851
1149	12619	3840
1150	12630	3829
1151	12640	3818
1152	12650	3807
1153	12660	3795
1154	12671	3784
1155	12682	3773
1156	12692	3762
1157	12702	3751
1158	12712	3740
1159	12722	3728
1160	12731	3717
1161	12741	3706
1162	12753	3695
1163	12763	3684
1164	12773	3673
1165	12785	3662
1166	12796	3651
1167	12807	3640
1168	12817	3629
1169	12828	3618
1170	12838	3607
1171	12849	3596
1172	12859	3584
1173	12869	3573
1174	12880	3562
1175	12889	3551
1176	12900	3540
1177	12912	3529
1178	12922	3518
1179	12931	3506
1180	12941	3495
1181	12952	3484
1182	12961	3473
1183	12972	3462
1184	12983	3451
1185	12992	3439
1186	13003	3428
1187	13014	3417
1188	13024	3406
1189	13034	3395
1190	13045	3384
1191	13056	3373
1192	13066	3362
1193	13076	3351
1194	13088	3340
1195	13101	3330
1196	13110	3318
1197	13120	3307
1198	13131	3296
1199	13142	3285
1200	13153	3274
1201	13164	3263
1202	13175	3252
1203	13185	3241
1204	13196	3230
1205	13206	3219
1206	13216	3208
1207	13226	3197
1208	13236	3185
1209	13247	3175
1210	13257	3163
1211	13267	3152
1212	13278	3141
1213	13288	3130
1214	13299	3119
1215	13310	3108
1216	13320	3097
1217	13330	3086
1218	13339	3075
1219	13350	3064
1220	13361	3053
1221	13373	3042
1222	13385	3031
1223	13396	3020
1224	13406	3009
1225	13416	2998
1226	13427	2987
1227	13437	2976
1228	13449	2965
1229	13459	2954
1230	13469	2943
1231	13480	2932
1232	13491	2921
1233	13501	2910
1234	13512	2899
1235	13523	2888
1236	13533	2877
1237	13543	2866
1238	13554	2855
1239	13565	2844
1240	13576	2833
1241	13585	2822
1242	13597	2811
1243	13607	2800
1244	13617	2789
1245	13628	2778
1246	13638	2767
1247	13648	2756
1248	13659	2745
1249	13669	2733
1250	13680	2722
1251	13690	2711
1252	13700	2700
1253	13711	2689
1254	13721	2678
1255	13732	2667
1256	13742	2656
1257	13753	2645
1258	13764	2634
1259	13773	2623
1260	13784	2612
1261	13794	2601
1262	13804	2590
1263	13815	2579
1264	13825	2568
1265	13836	2557
1266	13847	2546
1267	13858	2535
1268	13868	2524
1269	13879	2513
1270	13889	2502
1271	13900	2491
1272	13911	2480
1273	13922	2469
1274	13933	2458
1275	13945	2448
1276	13955	2437
1277	13969	2426
1278	13980	2415
1279	13991	2404
1280	14002	2393
1281	14012	2382
